player_id,first_name,last_name,birthdate_year,birth_date,homeprov,homecntry,OA
29110,Dax,Williams,2005,2005-09-28,AB,Canada,0
28131,Trey,Patterson,2003,2003-04-25,AB,Canada,0
28765,Blake,Heward,2003,2003-09-07,SK,,0
28191,Keagan,Slaney,2003,2003-04-10,AB,,0
28429,Grayden,Siepmann,2004,2004-05-26,BC,,0
28472,Billal,Noori,2004,2004-04-27,AB,,0
28927,Matteo,Danis,2005,2005-03-27,AB,,0
29243,Tomis,Marinkovic,2004,2004-02-15,BC,,0
29058,Maxim,Muranov,2004,2004-06-02,,Russia,0
29129,Carson,Wetsch,2006,2006-05-04,BC,,0
28929,David,Adaszynski,2005,2005-05-25,BC,,0
29095,Ethan,Moore,2005,2005-02-23,AB,,0
28098,Sean,Tschigerl,2003,2003-04-11,AB,,0
28102,Riley,Fiddler-Schultz,2002,2002-05-13,AB,,0
28103,Tyson,Galloway,2003,2003-01-20,BC,,0
29345,Ben,Kindel,2007,2007-04-19,BC,,0
29330,Sawyer,Mayes,2007,2007-01-08,BC,,0
28796,Carter,MacAdams,2004,2004-03-07,BC,,0
28283,Jacob,Wright,2002,2002-05-06,BC,Canada,0
28930,Carter,Yakemchuk,2005,2005-09-29,AB,,0
28425,Brandon,Whynott,2004,2004-04-16,BC,,0
28477,Ethan,Buenaventura,2004,2004-06-22,MB,,0
29241,London,Hoilett,2005,2005-02-15,MB,,0
29130,Chase,Valliant,2006,2006-05-18,BC,,0
28225,Brayden,Peters,2002,2002-05-22,AB,,0
28540,Oliver,Tulk,2005,2005-01-19,BC,,0
29289,Vojtech,Husinecky,2005,2005-08-29,,Czechia,0
28999,Jesse,Sanche,2006,2006-03-19,BC,,0
28047,Logan,Bairos,2003,2003-01-11,SK,,0
28116,Olen,Zellweger,2003,2003-09-10,AB,Canada,0
28947,Ryan,Nolan,2004,2004-01-06,AB,,0
29141,Aapo,Sarell,2003,2003-07-31,FIN,,0
29344,Max,Sullivan,2006,2006-05-25,AB,,0
28721,Emmitt,Finnie,2005,2005-06-27,AB,,0
28754,Ryan,Hofer,2002,2002-05-10,MB,Canada,0
28072,Logan,Stankoven,2003,2003-02-26,BC,,0
28711,Ryan,Michael,2005,2005-02-05,BC,,0
28073,Matthew,Seminoff,2003,2003-12-27,BC,,0
29169,Nathan,Behm,2007,2007-04-18,AB,,0
28467,Connor,Levis,2004,2004-10-05,BC,,0
28468,Fraser,Minten,2004,2004-07-05,BC,,0
28951,Nathan,MacPherson-Ridgewell,2004,2004-04-13,BC,,0
28979,Harrison,Brunicke,2006,2006-05-08,AB,,0
28052,Caedan,Bankier,2003,2003-01-26,BC,,0
28130,Kyle,Masters,2003,2003-04-09,AB,,0
28074,Daylan,Kuefler,2002,2002-02-10,AB,,0
28804,Dylan,Sydor,2003,2003-04-07,BC,,0
27976,Ethan,Brandwood,2002,2002-05-09,BC,,0
29056,Ashton,Tait,2006,2006-07-30,SK,,0
28821,Jakub,Demek,2003,2003-06-06,,Slovakia,0
28292,Matthew,Kieper,2004,2004-03-08,MB,,0
29140,Conner,Radke,2006,2006-04-23,AB,,0
28808,Shea,Van Olm,2004,2004-03-05,AB ,,0
28176,Ashton,Ferster,2003,2003-05-17,SK,,0
28279,Dylan,Ernst,2004,2004-02-06,SK,,0
28824,Caden,Price,2005,2005-08-24,SK,,0
28358,John,Babcock,2004,2004-04-25,BC,,0
29322,Marek,Rocak,2005,2005-05-31,,CZE,0
28755,Max,Graham,2004,2004-05-21,BC,,0
28546,Grady,Lenton,2005,2005-08-09,BC,,0
28823,Marcus,Pacheco,2005,2005-04-06,AB,,0
28267,Turner,McMillen,2003,2003-01-30,SK,,0
28125,Carson,Golder,2002,2002-10-29,BC,,0
29262,Will,Munro,2005,2005-04-26,MAN,,0
28258,Elias,Carmichael,2003,2003-03-18,BC,,0
28839,Trae,Johnson,2005,2005-05-03,SK,,0
29100,Ty,Hurley,2004,2004-06-16,AB,,0
29263,Ethan,Neutens,2005,2005-05-03,AB,,0
28426,Adam,Kydd,2002,2002-04-19,SK,,0
29331,Landon,Cowper,2006,2006-07-05,YT,,0
28990,Kayden,Longley,2006,2006-01-29,AB,,0
28822,Gabriel,Szturc,2003,2003-09-24,,CZE,0
28871,Ethan,Mittelsteadt,2005,2005-12-18,BC,Canada,0
28272,Dylan,Wightman,2003,2003-02-03,BC,,0
28229,Jackson,DeSouza,2003,2003-03-21,CO,USA,0
28767,Andrew,Cristall,2005,2005-02-04,BC,,0
29264,Logan,Peskett,2006,2006-09-14,BC,,0
29082,Jari,Kykkanen,2004,2004-08-16,AB,,0
27812,Talyn,Boyko,2002,2002-10-16,AB,Canada,0
28421,Logan,McCutcheon,2004,2004-01-19,SK,,0
28422,Chase,Pauls,2003,2003-10-07,SK,,0
28153,Nolan,Bentham,2003,2003-06-12,BC,,0
28138,Joe,Arntsen,2003,2003-05-22,SK,,0
28740,Noah,Chadwick,2005,2005-05-10,SK,Canada,0
29124,Tristen,Doyle,2006,2006-02-17,AB,,0
29059,Anton,Astashevich,2004,2004-03-27,,Belarus,0
29340,Luke,Cozens,2006,2006-06-30,YT,,0
29211,Will,Sharpe,2007,2007-03-07,BC,,0
29072,Miguel,Marques,2006,2006-03-08,BC,,0
29119,Trae,Wilke,2006,2006-04-20,SK,,0
28913,Dustin,Renas,2005,2005-07-18,SK,,0
28136,Jett,Jones,2002,2002-08-27,AB,,0
28709,Logan,Wormald,2005,2005-08-12,BC,Canada,0
28826,Brayden,Edwards,2004,2004-12-23,BC,Canada,0
29318,Aiden,Ziprick,2005,2005-12-08,MB,,0
28382,Tyson,Zimmer,2004,2004-09-05,MB,,0
28356,Hayden,Smith,2004,2004-07-16,BC,,0
28783,Tristan,Zandee,2003,2003-11-28,AB,,0
28307,Blake,Swetlikoff,2003,2003-05-29,SK,,0
27974,Cole,Shepard,2002,2002-02-01,BC,,0
28095,Tyson,Laventure,2003,2003-01-28,AB,Canada,0
27863,Bryan,Thomson,2002,2002-04-09,SK,Canada,0
29213,Koen,Cleaver,2007,2007-03-28,BC,,0
28935,Harrison,Meneghin,2004,2004-09-13,BC,,0
28790,Reid,Andresen,2005,2005-04-29,SK,,0
28182,Rhett,Parsons,2003,2003-08-10,AB,,0
29195,Matt,Paranych,2007,2007-04-23,AB,,0
29188,Kadon,McCann,2007,2007-03-25,AB,,0
29185,Hayden,Harsanyi,2007,2007-01-10,AB,,0
28431,Oasiz,Wiesblatt,2004,2004-04-08,AB,,0
28394,Tyler,MacKenzie,2004,2004-06-06,AB,,0
28732,Pasha,Bocharov,2004,2004-02-21,CA,USA,0
